                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.88537,                 0.5409,                 1.0633,                0.82573,                0.77174,                0.83545,                0.43832,                  1.691,                0.95432,                  1.581,              0.0006734,              0.0006734,              0.0006734
                    136,                0.88096,                 0.5497,                 1.0622,                0.79424,                0.77899,                0.82043,                0.42652,                 1.6901,                0.94651,                 1.5881,              0.0006635,              0.0006635,              0.0006635
                    137,                0.83163,                0.52714,                 1.0537,                0.80804,                0.77783,                0.82136,                 0.4274,                  1.705,                0.96912,                 1.6081,              0.0006536,              0.0006536,              0.0006536
                    138,                 0.9394,                0.58676,                 1.0892,                0.81632,                0.77291,                0.82814,                0.42438,                 1.7199,                0.95706,                 1.6318,              0.0006437,              0.0006437,              0.0006437
                    139,                0.83515,                0.53239,                 1.0407,                0.82188,                0.74638,                0.81179,                 0.4153,                 1.7251,                0.97289,                 1.6229,              0.0006338,              0.0006338,              0.0006338
                    140,                0.86854,                0.54818,                  1.046,                0.84122,                0.71024,                  0.808,                0.42379,                 1.7138,                0.99893,                 1.5985,              0.0006239,              0.0006239,              0.0006239
                    141,                0.88245,                0.54821,                 1.0535,                0.84987,                0.72826,                0.81855,                0.42712,                 1.7089,                0.97745,                 1.6015,               0.000614,               0.000614,               0.000614
                    142,                0.83716,                0.53351,                 1.0458,                0.78578,                0.78261,                0.81498,                0.42937,                 1.6982,                 0.9597,                 1.5884,              0.0006041,              0.0006041,              0.0006041
                    143,                0.81504,                0.52652,                 1.0268,                 0.8361,                0.73934,                 0.8084,                0.42965,                 1.6909,                0.96023,                 1.5741,              0.0005942,              0.0005942,              0.0005942
                    144,                0.87286,                0.53337,                 1.0557,                0.83001,                0.76449,                0.82928,                0.44441,                 1.6733,                0.93019,                 1.5565,              0.0005843,              0.0005843,              0.0005843
                    145,                 0.8485,                0.51309,                 1.0415,                0.83277,                0.79387,                0.84055,                0.44884,                 1.6638,                0.93169,                 1.5542,              0.0005744,              0.0005744,              0.0005744
